 Paper ID , Manuscript Title , Method used for optimization of the supply chain , VSM  used alone or in combination with other optimization methods , Main benefits , Place where the study was implemented ,Country,Continent, Company sector ,Sector , Year of publication , Improvement rate for the KPIs , ,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21, .1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31, .2,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41, .3,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51, .4,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61, .5
 Paper 284 , Materials flow improvement in a lean assembly line: A case study ,VSM ," Combined with a milkrun system for materials handling, but not explicitly mentioned "," Improvement of lean metrics without modifying the layout and production planning, routing flexibility of the milkrun reduced stocks, work-in-process, and dock-to-dock time, while increasing lean rate ", Bosch factory in Spain ,Spain,Europe, Automotive and industrial technology ,Automotive and industrial technology ,2007," Dock-to-dock time reduced from 19.75 days to 10.7 days, lean rate increased from 0.38% to 0.44% ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 124 , An analysis of low-income housing business chain in the light of target costing concept: A case study in Brazil ,VSM , VSM  used alone for information flow analysis ," Identification of opportunities for improvements, identification of end-client requirements "," Londrina, Paran¨¢ State, Brazil ",Brazil,South America, Housing and Construction , Housing and Construction ,2008, Not specified ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 135 , An analysis of low-income housing business chain in the light of target costing concept: A case study in Brazil ,VSM , Used alone , - Identification of opportunities for process improvement <br> - Enhanced understanding of the product development process <br> - Improved communication among team members <br> - Increased efficiency and reduced waste in the production process , Brazil ,Brazil,South America, Low-income housing sector , Low-income housing,2008, Not provided , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 126 , An Analysis of Low-Income Housing Business Chain in the Light of Target Costing Concept: A Case Study in Brazil ,VSM , Used alone , - Comprehensive view of product development process <br> - Identification of improvement and failures in the process <br> - Enhancement of supply chain management in the low-income housing sector , Brazil ,Brazil,South America, Public Housing Agency , Public Housing Agency ,2008, Not specified , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 157 , Enhancement of an Effective Training in Manufacturing Company ,VSM , VSM  used alone ," Improved productivity, reduced waste, increased efficiency ", Malaysia ,Malaysia,Asia, Manufacturing ,Manufacturing,2008, Not explicitly mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 289 , Analyzing the Benefits of Lean Tools: A Consumer Durables Manufacturing Company Case Study ,VSM , Used in combination with other lean tools and techniques ," Reduced lead time, improved lean rate, enhanced productivity and product quality, better operational control ", A medium-scale consumer durables manufacturing company in India ,India,Asia, Table-top wet grinder manufacturing , Table-top wet grinder ,2011," Takt time reduction: 26%, cycle time reduction: 8%, assembly line production increase: 23%, lean rate increase: from 31% to 43% ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 288 , A framework for assessing the cost effectiveness of lean tools ,VSM ," VSM  used in combination with other lean tools such as 5S, SIPOC, and process mapping "," Improved process efficiency, reduced lead times, and increased customer satisfaction "," S?dra Timber in Ramkvilla, Sweden ",Sweden,Europe, Forestry and wood products ,Forestry,2011," 50% reduction in lead time, 20% increase in process efficiency ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 22 , An Application of Value Stream Mapping In Automotive Industry: A Case Study ,VSM , Standalone , - Identification and elimination of waste in the production process<br>- Reduction in lead time from 24 days to 12 days<br>- Improvement in on-time delivery from 87% to 97%<br>- Enhancement of product quality and customer satisfaction , An automotive component manufacturing company located in India ,India,Asia, Automotive Manufacturing ,Automotive,2012, - Lead time reduction: 50%<br>- On-time delivery improvement: 10%<br>- Product quality enhancement: Not specified<br>- Customer satisfaction improvement: Not specified , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 297 , Material and Information Flow Chart (MIFC) Mapping for Lean Manufacturing Implementation in the D55D Assembly Line ,VSM , Used alone ," - Identified wastes and source of wastes, areas for improvement, and appropriate tools for Kaizen activities in the D55D assembly line "," XYZ Manufacturing Sendirian Berhad, an automotive component assembly line in Malaysia ",Malaysia,Asia, Automotive components manufacturing ,Automotive,2012, Not explicitly mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 13 , Value Stream Mapping in Construction: A Case Study in a Brazilian Construction Company ,VSM , Used alone ," Identification of wastes and problems in the production process, Proposal of improvement actions for the construction of a new flow, Increased production regularity and quality, Reduction of lead time and costs, Increased customer satisfaction ", Brazil ,Brazil,South America, Construction ,Construction,2012," Average T/C (time between one product and the next) reduction: 211.77 min/m? to 112.24 min/m? for marking, 89.86 min/m? to 58.91 min/m? for elevation, 496.05 min/m? to 264.71 min/m? for wall closing, Lead time reduction: 60 workdays to 53.71 workdays per pavement ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 241 , Application of lean manufacturing using value stream mapping in an auto-parts manufacturing unit ,VSM , VSM  used alone ," Cycle time reduction for replacement ball: 69.41%, work-in-process inventory reduction for replacement ball: 18.26%, production lead time reduction for replacement ball: 24.56%, cycle time reduction for Weldon ball end: 51.87%, work-in-process inventory reduction for Weldon ball end: 21.51%, lead time reduction for Weldon ball end: 25.88% "," A leading auto-parts manufacturing unit located near Ludhiana, Punjab, India ",India,Asia, Automotive components industry ,Automotive,2013," Cycle time reduction for replacement ball: 69.41%, Work-in-process inventory reduction for replacement ball: 18.26%, Production lead time reduction for replacement ball: 24.56%, Cycle time reduction for Weldon ball end: 51.87%, Work-in-process inventory reduction for Weldon ball end: 21.51%, Lead time reduction for Weldon ball end: 25.88% ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 12 , Value Stream Mapping as a Tool to Identify the Opportunities for Various Lean Techniques: An Auto Industry Case Study ,VSM , Used alone ," 22% reduction in processing time, 33.7% reduction in lead time, 17.6% increase in value added ratio, 50% reduction in inventory ", India ,India,Asia, Automotive industry ,Automotive,2014," Processing time: 22% reduction, Lead time: 33.7% reduction, Value added ratio: 17.6% increase, Inventory: 50% reduction ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 291 , Application of Value Stream Mapping for Reduction of Cycle Time in a Machining Process ,VSM , Used alone , - Improved efficiency of operations by eliminating and reducing wastes<br>- Enhanced production processes<br>- Boosted job satisfaction of employees<br>- Reduced manufacturing lead time by 40%<br>- Decreased defects<br>- Achieved higher process capability<br>- Enabled quick response to customer demand in small lots , South India ,India,Asia, Automotive manufacturing ,Automotive,2014, - Manufacturing lead time: 40% reduction<br>- Defects: Decreased (specific rate not mentioned)<br>- Process capability: Higher achievement (specific rate not mentioned) , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 5 , Process Planning Through Value Stream Mapping In Foundry ,VSM , Used alone ," Minimization of cycle time and increase in productivity, identification and analysis of wastage affecting the cycle time, development of a future state value stream map "," A casting industry in Coimbatore, India ",India,Asia, Manufacturing of Horn end other products like Castings and Industrial Cleaning Machines ,Horn end other products ,2014, Not mentioned ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 4 , Parametric Value Stream Mapping Framework: A Case Study of a Small Swedish Industrialized House-Building Supplier ,VSM , Used in combination with parametric design ," Helped the company to stop current development and suggest valuable product attributes, enhanced application of VSM  ", Sweden ,Sweden,Europe, Industrialized house-building ,House-building ,2014, Not explicitly stated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 8 , The Effectiveness ofVSM as an Improvement Tool for the Manufacturing Operation ,VSM , Standalone , - Identified waste and proposed solutions for problems<br>- Reduced lead time by half<br>- Increased value added ratio drastically<br>- Improved cycle time by minimizing handling time ," Universiti Kuala Lumpur Malaysian Spanish Institute, Kulim Hi-Tech Park, Kedah, Malaysia ",Malaysia,Asia, Manufacturing ,Manufacturing,2014, - Lead time: 50% reduction<br>- Value added ratio: Drastic increase<br>- Cycle time: Improvement by minimizing handling time (exact rate not mentioned) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 6 , Product and Process Improvement Using Simulation Based Value Stream Mapping: An Case Study ,VSM , Not explicitly mentioned if used in combination with other methods ," - Reduction in lead time, cycle time, and inventory level<br>- Even small companies can make significant improvements by adopting VSM  technology<br>- In the case study, the manufacturing lead time was reduced from 36.86 days to 34.06 days "," Muthayammal College of Engineering, Rasipuram, Tamilnadu, India ",India,Asia, Not specified ,Not,2014, - Lead time reduction: 36.86 days to 34.06 days (a decrease of approximately 7.6%)<br>- Improvement rate for cycle time and inventory level not explicitly mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 41 , Value Stream Mapping to Improve Value Ratio of Subcontracting Process in a Pressure Vessel Manufacturing Facility (A Case Study) ,VSM , Used alone , - Significant reduction in total lead time of subcontract inventory<br>- Easier material and information flow<br>- Faster inventory turnover<br>- Reduction in unnecessary waiting time and overproduction , Pressure vessel manufacturing facility in India ,India,Asia, Air compressor manufacturing ,Air compressor,2015, - Value ratio improvement of 67% for dish ends and 100% for shells , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 30 , Improvement of Process Cycle Efficiency by Implementing a Lean Practice: A Case Study ,VSM , Used alone ," - Reduction in cycle time and setup time<br>- Elimination of final inspection process<br>- Reduction in bottleneck time, waiting time, material handling time<br>- Increase in cycle efficiency from 4% to 6-7%<br>- Potential cost savings of 6-7% ", V.M. Auto Parts Pvt. Ltd. ,India,Asia, Small scale production industry ,Automotive,2015, - Cycle Efficiency: Increase from 4% to 6-7%<br>- Cost Savings: Potential reduction of 6-7%<br>- Lead Time: Reduction from 43.2 days to around 4 days (not explicitly stated)<br>- Takt Time: Reduction from 3.15 min to around 2 min (not explicitly stated) , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 16 , An Application of Value Stream Mapping in Ceramic Tile Industry: A Case Study ,VSM , Used alone ," - Identified and reduced waste in the manufacturing process by 26%<br>- Decreased unnecessary inventory by 8.33%<br>- Reduced working time of the color-mixing department by 21.57%<br>- Enhanced flexibility, causing 2.67% shorter lead time<br>- Improved value-added ratio by 2.70%<br>- Increased frequent product delivery and profits ", A ceramic tile manufacturing company in Thailand ,Thailand,Asia, Ceramic industry ,Ceramic,2015," - Lead Time: 2.67% reduction<br>- Value-Added Ratio: 2.70% increase<br>- Frequent Product Delivery: Not explicitly stated, but implied as a result of process improvements ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 23 , Application of Value Stream Mapping for Lead Time Reduction and Inventory Control ,VSM , Standalone , - Large amount of waste removal<br>- Reduction of production lead time by 3 days and 4.2 hours<br>- Control of WIP inventory to fewer than 66% ," A compressor and motor manufacturing industry located at Satara, India ",India,Asia, Manufacturing ,Compressor and motor,2015, - Reduction of order lead time from 5 days to 2 days<br>- Continuous flow installation between all operation stations of production line resulting in 66% reduced WIP inventory , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 40 , Value Stream Mapping in Glide Manufacturing: A Case Study of Insti-Tools in Zimbabwe ,VSM , Used alone , - Identification of waste in the production process<br>- Reduction of lead time by 60.88%<br>- Decrease in processing time by 4%<br>- Reduction in manpower by 25% ," Harare Institute of Technology (HIT), Harare, Zimbabwe ",Zimbabwe,Africa, Manufacturing (glide production) ,Glide,2015, - Lead time: 60.88% reduction<br>- Processing time: 4% reduction<br>- Manpower: 25% reduction , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper 37,VSM  ¨C A Case Study in Orthopedic Hospital,VSM ,VSM  used alone,"Elimination of waste, increased productivity, flexibility, smoothness, and high-quality service","Orthopedic Hospital, Nagpur",India,Asia,Healthcare,Healthcare,2015,Not explicitly stated in the document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 27 , Enhanced Value Stream Mapping: Potentials and Feasibility of IT Support through Manufacturing Execution Systems ,VSM , Combination with Manufacturing Execution Systems (MES) ," - Improved data collection and analysis for VSM <br>- Enhanced ability to view historical data, such as inventory levels and energy consumption, to support sustainability efforts<br>- Increased efficiency and effectiveness of VSM  through the use of real-time data and automation ", The case study was conducted at the Center for Industrial Productivity (CiP) at the Technische Universit?t Darmstadt in Germany ,Germany,Europe, Manufacturing ,Manufacturing,2015," Not provided, but mentioned improvements in lead time, productivity, work in progress levels, and flexibility regarding volume and variants ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 39 , Value Stream Mapping: Case Study on Residential Construction Sector ,VSM , Used alone , - Identification of production and environmental waste in the value stream<br>- Improved material and information flow<br>- Recommendations for establishing an implementation plan to produce future plans ," Warhol, Pune, India ",India,Asia, Residential Construction ,Residential construction,2015," Not provided, but the use of VSM  led to the detection of waste and inefficiencies in the value stream, paving the way for future improvements. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 18 , Applicability of lean towards improved efficiency in sample processes ¨C A case study of a Swedish branded retailer ,VSM ," Yes, used in combination with other methods such as interviews, observations, and document analysis "," Identification of non-value adding activities, improved efficiency in the sample process, and potential for increased customer satisfaction ", Sweden ,Sweden,Europe, Branded retailer in the textile industry ,Textile,2015, Not explicitly mentioned in the provided document , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 74 , Making the value flow: application of value stream mapping in a Brazilian public healthcare organisation ,VSM , Not specified ," - Reduction of wastes, inventory levels, and production lead times in the hospital sterilisation unit ", Unnamed Brazilian public healthcare organisation ,Brazil,South America, Public healthcare , Public healthcare ,2016, Not specified , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 65 ," Elimination of Wastes in Pasta manufacturing using Value Stream Mapping Techniques: a case study of Golden Pasta Company, Lagos ",VSM , Used alone ," - Reduction in production lead time from 1.43 days to 5.04 hours<br>- Decrease in waste by 85.3%<br>- Potential cost savings of N42,188,880 yearly "," Golden Pasta Company, Lagos, Nigeria (a subsidiary of Flour Mills of Nigeria) ",Nigeria,Africa, Food manufacturing industry ,Food,2016, - Production lead time (PLT): Decreased by 85.3%<br>- Cycle time (CT): Decreased by 42.2%<br>- Overall Equipment Efficiency (OEE): Increased by 40%<br>- Number of breakdowns: Reduced from 390 per month to 10 per month<br>- Material cost: Decreased by 49.7%<br>- Maintenance cost: Decreased by 61.6%<br>- Power (Energy) cost: Decreased by 12.5%<br>- Labour cost: Decreased by 51.1% , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 19 , Application of Lean Manufacturing Concepts to Reduce Manufacturing Lead Times within the Meatball Production Process ,VSM , Used in combination with other Lean Manufacturing concepts and Design of Experiment technique , - Reduction of manufacturing lead times by up to 65.8%<br>- Decrease in time taken for cooling meatballs from 16 hours to 4.5 hours<br>- Improvement in process efficiency and reduction of waste ," Chiang Mai, Thailand ",Thailand,Asia, Food processing industry (meatball production) ,Food processing,2016, - Time taken for value-added activities dropped from 796.5 minutes to 341.5 minutes<br>- Time taken for non-value added activities decreased from 252.3 to 12.3 minutes<br>- Process times for temperature reduction step dropped from 967.7 minutes to 272.7 minutes<br>- Time taken for value-added activities during temperature reduction decreased from 725 minutes to 270 minutes<br>- Time taken for non-value added activities during temperature reduction decreased from 242.7 minutes to 2.7 minutes , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 48,Implementation of Lean Knowledge Work in Oil and Gas Industry ¨C A Case Study from a Risk-Based Inspection Project,VSM ,VSM  used alone,- Identification and elimination of waste in an RBI assessment project?<br>?- Improved process efficiency,O&G onshore facilities in Australia,Australia,Australia,Oil and Gas,Oil and gas,2016,Not specified in the document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper 34,Optimizing Shipyard Interim Product Assembly Using a Value Stream Mapping Methodology,VSM ,VSM alone,"Up to 50% improvement in production line. The resulting improvements can be up to 700%
improvement in decreasing man-hours and 300% improvement
in duration time",,Croatia,Europe,Shipbuidling,shipbuidling,2016,The future value stream map has improvements of up to 50 percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 67 , Evaluating lean thinking using value stream mapping in manufacturing industry ¨C a case study ,VSM , Used alone , - Reduction of processing time from 172 minutes to 164 minutes (4.65%)<br>- Reduction of lead time from 694 minutes to 536 minutes (22.76%)<br>- Reduction of work in progress inventory from 112 to 104 (7.14%)<br>- Reduction of workforce from 31 to 27 (16.13%) ," Ludhiana, Punjab, India ",India,Asia, Casting product manufacturing ,Casting products,2017," - Cycle time reduction: 3 minutes (20%) for unmoulding process<br>- Cycle time reduction: 4 minutes for painting process<br>- New cycle time of operation: 9 minutes instead of 12 minutes for unmoulding process<br>- New cycle time of operation: 10 minutes instead of 14 minutes for painting process<br>- Annual profit increase: 357,000 rupees ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 75 , Minimizing Waste Using Lean Manufacturing: A Case in Cement Production ,VSM ," VSM  in combination with Waste Assessment Questionnaire (WAQ), Failure Mode and Effect Analysis (FMEA), and Cause and Effect Diagram ", - Identification and minimization of waste in the cement production process<br>- Improvement of production process performance<br>- Increase in company's competitiveness ," Cement manufacturing company located in Padang, Indonesia ",Indonesia,Asia, Cement industry ,Cement,2017, Not specified , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 87 , The Concept of Value Stream Mapping to Reduce of Work-Time Waste as Applied the Smart Construction Management ,VSM , Used alone ," Identification of work-time waste factors in construction projects, recommendation for decision-making to reduce work-time waste, improved efficiency and sustainability in construction management ", Indonesia ,Indonesia,Asia, Construction industry ,Construction,2017, Average 14.88% of working time was classified as waste ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 104 , Cleaner Production Implementation in an E-Waste Recovery Plant by Using the Value Stream Mapping ,VSM ," VSM  was used in combination with Lean Manufacturing tools and the Guidelines for Green Industry Auditor, 2014 "," - Improved environmental, economic, and societal performance of the e-waste recovery process<br>- Enhanced visualization of environmental and societal metrics in addition to the general VSM  metrics<br>- Better identification and elimination of environmental wastes, leading to improved process efficiency and sustainability "," Local e-Waste Recovery Plant, ABC Sdn. Bhd., Malaysia ",Malaysia,Asia, Electronic waste recovery and recycling ,Electronic,2017, Not provided , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
