 Paper ID , Manuscript Title , Method used for optimization of the supply chain , VSM  used alone or in combination with other optimization methods , Main benefits , Place where the study was implemented ,Country,Continent, Company sector ,Sector , Year of publication , Improvement rate for the KPIs , ,,,,,,,,,, ,,,,,,,,,, ,,,,,,,,,, ,,,,,,,,,, ,,,,,,,,,, 
Paper 110,Implementation of Lean Manufacturing Tools in an Abattoir: A Case Study of a Botswana Private Beef Abattoir," VSM, 5S, Just-in-time, Redesigning and optimization of working cells and production layout, and control charts",Value stream mapping was used in combination with other lean manufacturing tools,"Improved productivity, work improvements, reduced waste in the manufacturing process, and improved efficiency","Botswana Private Beef Abattoir, Palapye, Botswana",Botswana,Africa,Beef industry,Beef,2018,"21-23% cycle time improvements, 20-22% process efficiency improvement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 121 , Lean Six Sigma: Multiple Case Study ," VSM, Lean Six Sigma (Lean Manufacturing and Six Sigma), SIPOC analysis, DMAIC methodology ", VSM  combined with other methods ," Optimization of machine and production flow, savings of resources, improvement in lead time "," Sorocaba, S?o Paulo ",Brazil,South America, Diverse industries ,,2017," Operation time reduced by 32%, process time reduced by 15% ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 79 , Business Process Reengineering Using a Customised Mapping Model: A Case Study in a SME ," VSM, Process Mapping (PM), and Process Activity Mapping (PAM)  "," Customised mapping model combining PM, PAM, and VSM  "," Increased stock accuracy from 22% to above 95%, reduction of reversed orders from about 40 per month to zero, order fulfillment time reduced by 50%, profitability improved threefold "," Herbert Retail Ltd., Haverhill, near Cambridge ",UK,Europe, Manufacturing and service sector (SME with ?20 million annual turnover and 200 employees) ,Manufacturing and service,2007," Number of reversed orders reduced from 40 to 0 per month, stock accuracy increased from 22% to above 95%, order fulfillment time reduced by 50%, profitability improved threefold ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 47,Lean Manufacturing in SMEs,"Cellular manufacturing and lean production planning and control techniques (pull, takt time, heijunka)",VSM ,"Increased production flow efficiency, reduced lead times, improved inventory control, and increased customer satisfaction","Milleteknik, a Swedish SME",Sweden,Europe,Electronics manufacturing,Electronics,2023,Not specified in the document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 80,Production flow analysis through emvironmental value stream mapping: a case study of cover glass manufacturing facility,Environmental VSM (E-VSM),E-VSM ,Integrated environmental metrics into conventional VSM  and idtentified botlenecks.,,-,-,,,2017,"46% CO2 reduction, 27% lead time decrease",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 261 , Sustainable Manufacturing Performance Enhancement Using Lean Competitive Strategy: A Case Study in Plastic Molding Industry ,Lean Competitive Strategy , VSM  not explicitly mentioned , - Improved production efficiency<br>- Reduced manufacturing lead time<br>- Enhanced sustainability performance<br>- Increased market competitiveness , Not specified ,-,-, Plastic Molding Industry ,Plastic molding,2023, Not provided , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 2 , Three Dimensions of Responsiveness ,VSM , Used in combination with semi-structured interviews and site visits ," Identified three key dimensions of responsiveness in supply chains: product, process, and volume ", Automotive and electronics industry ,-,-, Manufacturing ,Automotive and electronics ,2005, Not provided ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 285 , Application of value stream mapping for lean operations and cycle time reduction: An Indian case study ,VSM , VSM  used alone ," Improved productivity of supplier ABC Ltd., consistent hourly supply of motorcycle frames from ABC Ltd to XYZ, reduction in cycle time and lead time "," ABC Ltd, a dedicated supplier for XYZ, in India ",India,Asia," Automotive industry, motorcycle segment ","Automotive industry, motorcycle segment ",2005, Specific improvement rates not mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 46 , Improving Quality through Value Stream Mapping: A Case Study of a Physician's Clinic ,VSM , Used alone , - Significantly lower patient wait times<br>- Increased patient throughput<br>- Increased capacity without adding people or equipment<br>- Greater opportunity for last-minute appointments<br>- Lower stress levels for clinic staff , A small medical clinic ,-,-, Healthcare ,Healthcare,2006," Specific numerical data not provided, but the study indicates a 25% increase in capacity in a different case example ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 24 , A NEW VALUE STREAM MAPPING APPROACH FOR COMPLEX PRODUCTION SYSTEMS ,VSM , Combined with Temporized Bill of Material (TBOM) and other tools derived from industrial engineering , - Addresses the limitations of traditional VSM  in complex production systems<br>- Enables the optimization of complex systems with multiple flows that merge<br>- Supports the identification of the critical production path and the analysis of possible sharing with secondary paths<br>- Enhances lean production and reduces the Work In Process (WIP) level , Not specified ,-,-, Not specified ,Not,2006, Not explicitly mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 284 , Materials flow improvement in a lean assembly line: A case study ,VSM ," Combined with a milkrun system for materials handling, but not explicitly mentioned "," Improvement of lean metrics without modifying the layout and production planning, routing flexibility of the milkrun reduced stocks, work-in-process, and dock-to-dock time, while increasing lean rate ", Bosch factory in Spain ,Spain,Europe, Automotive and industrial technology ,Automotive and industrial technology ,2007," Dock-to-dock time reduced from 19.75 days to 10.7 days, lean rate increased from 0.38% to 0.44% ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 124 , An analysis of low-income housing business chain in the light of target costing concept: A case study in Brazil ,VSM , VSM  used alone for information flow analysis ," Identification of opportunities for improvements, identification of end-client requirements "," Londrina, Paran芍 State, Brazil ",Brazil,South America, Housing and Construction , Housing and Construction ,2008, Not specified ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 135 , An analysis of low-income housing business chain in the light of target costing concept: A case study in Brazil ,VSM , Used alone , - Identification of opportunities for process improvement <br> - Enhanced understanding of the product development process <br> - Improved communication among team members <br> - Increased efficiency and reduced waste in the production process , Brazil ,Brazil,South America, Low-income housing sector , Low-income housing,2008, Not provided , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 126 , An Analysis of Low-Income Housing Business Chain in the Light of Target Costing Concept: A Case Study in Brazil ,VSM , Used alone , - Comprehensive view of product development process <br> - Identification of improvement and failures in the process <br> - Enhancement of supply chain management in the low-income housing sector , Brazil ,Brazil,South America, Public Housing Agency , Public Housing Agency ,2008, Not specified , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 157 , Enhancement of an Effective Training in Manufacturing Company ,VSM , VSM  used alone ," Improved productivity, reduced waste, increased efficiency ", Malaysia ,Malaysia,Asia, Manufacturing ,Manufacturing,2008, Not explicitly mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 168 , Evaluation of Value Stream Mapping in Manufacturing Systems Redesigning ,VSM , VSM  used alone ," Confirmed validity of VSM  as a redesign tool, Established resources required for the application process, Highlighted differences between theoretical concepts proposed by VSM  and their real-world practical applications ", Multiple case studies in six industrial companies ,-,-, Not specified ,Not,2008, Not mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 289 , Analyzing the Benefits of Lean Tools: A Consumer Durables Manufacturing Company Case Study ,VSM , Used in combination with other lean tools and techniques ," Reduced lead time, improved lean rate, enhanced productivity and product quality, better operational control ", A medium-scale consumer durables manufacturing company in India ,India,Asia, Table-top wet grinder manufacturing , Table-top wet grinder ,2011," Takt time reduction: 26%, cycle time reduction: 8%, assembly line production increase: 23%, lean rate increase: from 31% to 43% ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 295 , Lessons learned from successfulVSM in construction ,VSM , Used alone ," - Improved visualization and transparency of production processes<br>- Identification and reduction of waste in the production system<br>- Enhanced customer value through more efficient production processes<br>- Initiation of a ""Lean journey"" for the involved companies "," Three different companies: patio door manufacturing, interior wall manufacturing, and kitchen cabinet assembly ",-,-, Construction ,Construction,2011, Not provided , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 294 , Increased efficiency through production stream mapping and application of Index of Global Operating Income in the manufacturing process of an electronic components company ,VSM , In combination with the Index of Global Operating Income (IROG) ," - Identification of bottlenecks and other limiting factors in the production process<br>- Proposal of initiatives to increase the IROG and overall efficiency<br>- Balancing of the production flow, reduction of production lead time, and potential improvements ", A manufacturing plant of high-vibration resistant capacitors for the automotive industry ,-,-, Electronic components ,Electronic,2011," - 20% increase in production, from 3,500 to 4,189 pieces per turn ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 288 , A framework for assessing the cost effectiveness of lean tools ,VSM ," VSM  used in combination with other lean tools such as 5S, SIPOC, and process mapping "," Improved process efficiency, reduced lead times, and increased customer satisfaction "," S?dra Timber in Ramkvilla, Sweden ",Sweden,Europe, Forestry and wood products ,Forestry,2011," 50% reduction in lead time, 20% increase in process efficiency ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 293 , Implementation of Lean Six Sigma (LSS) in supply chain management (SCM) ,VSM , In combination with other Lean Six Sigma tools ," - Improved process flow<br>- Reduced waste<br>- Increased customer satisfaction<br>- Enhanced cost, quality, and delivery performance ", Not specified ,-,-," Retail, manufacturing products ",Retail,2011, - Receiving period: Reduction from 2 weeks late (current baseline) to 1 day late (target)<br>- Filling rate of orders from retailers: Increase from 80% (current baseline) to 90% (target)<br>- Picking rate: Improvement from 39 line picks/operator/hour (current baseline) to 60 line picks/operator/hour (target) , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 22 , An Application of Value Stream Mapping In Automotive Industry: A Case Study ,VSM , Standalone , - Identification and elimination of waste in the production process<br>- Reduction in lead time from 24 days to 12 days<br>- Improvement in on-time delivery from 87% to 97%<br>- Enhancement of product quality and customer satisfaction , An automotive component manufacturing company located in India ,India,Asia, Automotive Manufacturing ,Automotive,2012, - Lead time reduction: 50%<br>- On-time delivery improvement: 10%<br>- Product quality enhancement: Not specified<br>- Customer satisfaction improvement: Not specified , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 297 , Material and Information Flow Chart (MIFC) Mapping for Lean Manufacturing Implementation in the D55D Assembly Line ,VSM , Used alone ," - Identified wastes and source of wastes, areas for improvement, and appropriate tools for Kaizen activities in the D55D assembly line "," XYZ Manufacturing Sendirian Berhad, an automotive component assembly line in Malaysia ",Malaysia,Asia, Automotive components manufacturing ,Automotive,2012, Not explicitly mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 13 , Value Stream Mapping in Construction: A Case Study in a Brazilian Construction Company ,VSM , Used alone ," Identification of wastes and problems in the production process, Proposal of improvement actions for the construction of a new flow, Increased production regularity and quality, Reduction of lead time and costs, Increased customer satisfaction ", Brazil ,Brazil,South America, Construction ,Construction,2012," Average T/C (time between one product and the next) reduction: 211.77 min/m? to 112.24 min/m? for marking, 89.86 min/m? to 58.91 min/m? for elevation, 496.05 min/m? to 264.71 min/m? for wall closing, Lead time reduction: 60 workdays to 53.71 workdays per pavement ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 241 , Application of lean manufacturing using value stream mapping in an auto-parts manufacturing unit ,VSM , VSM  used alone ," Cycle time reduction for replacement ball: 69.41%, work-in-process inventory reduction for replacement ball: 18.26%, production lead time reduction for replacement ball: 24.56%, cycle time reduction for Weldon ball end: 51.87%, work-in-process inventory reduction for Weldon ball end: 21.51%, lead time reduction for Weldon ball end: 25.88% "," A leading auto-parts manufacturing unit located near Ludhiana, Punjab, India ",India,Asia, Automotive components industry ,Automotive,2013," Cycle time reduction for replacement ball: 69.41%, Work-in-process inventory reduction for replacement ball: 18.26%, Production lead time reduction for replacement ball: 24.56%, Cycle time reduction for Weldon ball end: 51.87%, Work-in-process inventory reduction for Weldon ball end: 21.51%, Lead time reduction for Weldon ball end: 25.88% ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 3 , Lean Manufacturing Implementation Using Value Stream Mapping: A Case study of Pumps Manufacturing Company ,VSM , Used alone ," Identification and elimination of waste, improvement of production flow, maximization of production while minimizing waste, development of lean practices ", Pumps manufacturing company ,-,-, Manufacturing , Pumps  ,2014," Lead time reduction from 54 days to 36.5 days, Inventory reduction from 33 days to 22.4 days ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 12 , Value Stream Mapping as a Tool to Identify the Opportunities for Various Lean Techniques: An Auto Industry Case Study ,VSM , Used alone ," 22% reduction in processing time, 33.7% reduction in lead time, 17.6% increase in value added ratio, 50% reduction in inventory ", India ,India,Asia, Automotive industry ,Automotive,2014," Processing time: 22% reduction, Lead time: 33.7% reduction, Value added ratio: 17.6% increase, Inventory: 50% reduction ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 291 , Application of Value Stream Mapping for Reduction of Cycle Time in a Machining Process ,VSM , Used alone , - Improved efficiency of operations by eliminating and reducing wastes<br>- Enhanced production processes<br>- Boosted job satisfaction of employees<br>- Reduced manufacturing lead time by 40%<br>- Decreased defects<br>- Achieved higher process capability<br>- Enabled quick response to customer demand in small lots , South India ,India,Asia, Automotive manufacturing ,Automotive,2014, - Manufacturing lead time: 40% reduction<br>- Defects: Decreased (specific rate not mentioned)<br>- Process capability: Higher achievement (specific rate not mentioned) , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 5 , Process Planning Through Value Stream Mapping In Foundry ,VSM , Used alone ," Minimization of cycle time and increase in productivity, identification and analysis of wastage affecting the cycle time, development of a future state value stream map "," A casting industry in Coimbatore, India ",India,Asia, Manufacturing of Horn end other products like Castings and Industrial Cleaning Machines ,Horn end other products ,2014, Not mentioned ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 4 , Parametric Value Stream Mapping Framework: A Case Study of a Small Swedish Industrialized House-Building Supplier ,VSM , Used in combination with parametric design ," Helped the company to stop current development and suggest valuable product attributes, enhanced application of VSM  ", Sweden ,Sweden,Europe, Industrialized house-building ,House-building ,2014, Not explicitly stated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 8 , The Effectiveness ofVSM as an Improvement Tool for the Manufacturing Operation ,VSM , Standalone , - Identified waste and proposed solutions for problems<br>- Reduced lead time by half<br>- Increased value added ratio drastically<br>- Improved cycle time by minimizing handling time ," Universiti Kuala Lumpur Malaysian Spanish Institute, Kulim Hi-Tech Park, Kedah, Malaysia ",Malaysia,Asia, Manufacturing ,Manufacturing,2014, - Lead time: 50% reduction<br>- Value added ratio: Drastic increase<br>- Cycle time: Improvement by minimizing handling time (exact rate not mentioned) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 6 , Product and Process Improvement Using Simulation Based Value Stream Mapping: An Case Study ,VSM , Not explicitly mentioned if used in combination with other methods ," - Reduction in lead time, cycle time, and inventory level<br>- Even small companies can make significant improvements by adopting VSM  technology<br>- In the case study, the manufacturing lead time was reduced from 36.86 days to 34.06 days "," Muthayammal College of Engineering, Rasipuram, Tamilnadu, India ",India,Asia, Not specified ,Not,2014, - Lead time reduction: 36.86 days to 34.06 days (a decrease of approximately 7.6%)<br>- Improvement rate for cycle time and inventory level not explicitly mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 41 , Value Stream Mapping to Improve Value Ratio of Subcontracting Process in a Pressure Vessel Manufacturing Facility (A Case Study) ,VSM , Used alone , - Significant reduction in total lead time of subcontract inventory<br>- Easier material and information flow<br>- Faster inventory turnover<br>- Reduction in unnecessary waiting time and overproduction , Pressure vessel manufacturing facility in India ,India,Asia, Air compressor manufacturing ,Air compressor,2015, - Value ratio improvement of 67% for dish ends and 100% for shells , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 26 , Case study on identification and elimination of waste through lean implementation in an automotive part manufacturing industry ,VSM , Standalone (not explicitly mentioned) ," - Reduction of throughput time from 250 hours to 109 hours (56% reduction)<br>- Elimination of queuing inventory for left-hand crankshaft (CS041)<br>- Continuous flow of the component achieved by suggested layout modification<br>- Inventory size reduction of CS041 between crank pin bore, face milling operation up to Induction hardening operation<br>- Achievement of FIFO material flow using reports generated by the SCM software for procurement plan, production plan, and shop floor scheduling<br>- Reduction in work-in-progress (WIP) inventory "," Not explicitly mentioned, but it is a case study on an automotive part manufacturing industry ",-,-, Automotive part manufacturing ,Automotive,2015," - 56% reduction in throughput time<br>- Not explicitly mentioned for other KPIs (inventory reduction, WIP reduction), but improvements are implied ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 30 , Improvement of Process Cycle Efficiency by Implementing a Lean Practice: A Case Study ,VSM , Used alone ," - Reduction in cycle time and setup time<br>- Elimination of final inspection process<br>- Reduction in bottleneck time, waiting time, material handling time<br>- Increase in cycle efficiency from 4% to 6-7%<br>- Potential cost savings of 6-7% ", V.M. Auto Parts Pvt. Ltd. ,India,Asia, Small scale production industry ,Automotive,2015, - Cycle Efficiency: Increase from 4% to 6-7%<br>- Cost Savings: Potential reduction of 6-7%<br>- Lead Time: Reduction from 43.2 days to around 4 days (not explicitly stated)<br>- Takt Time: Reduction from 3.15 min to around 2 min (not explicitly stated) , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 16 , An Application of Value Stream Mapping in Ceramic Tile Industry: A Case Study ,VSM , Used alone ," - Identified and reduced waste in the manufacturing process by 26%<br>- Decreased unnecessary inventory by 8.33%<br>- Reduced working time of the color-mixing department by 21.57%<br>- Enhanced flexibility, causing 2.67% shorter lead time<br>- Improved value-added ratio by 2.70%<br>- Increased frequent product delivery and profits ", A ceramic tile manufacturing company in Thailand ,Thailand,Asia, Ceramic industry ,Ceramic,2015," - Lead Time: 2.67% reduction<br>- Value-Added Ratio: 2.70% increase<br>- Frequent Product Delivery: Not explicitly stated, but implied as a result of process improvements ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 23 , Application of Value Stream Mapping for Lead Time Reduction and Inventory Control ,VSM , Standalone , - Large amount of waste removal<br>- Reduction of production lead time by 3 days and 4.2 hours<br>- Control of WIP inventory to fewer than 66% ," A compressor and motor manufacturing industry located at Satara, India ",India,Asia, Manufacturing ,Compressor and motor,2015, - Reduction of order lead time from 5 days to 2 days<br>- Continuous flow installation between all operation stations of production line resulting in 66% reduced WIP inventory , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 40 , Value Stream Mapping in Glide Manufacturing: A Case Study of Insti-Tools in Zimbabwe ,VSM , Used alone , - Identification of waste in the production process<br>- Reduction of lead time by 60.88%<br>- Decrease in processing time by 4%<br>- Reduction in manpower by 25% ," Harare Institute of Technology (HIT), Harare, Zimbabwe ",Zimbabwe,Africa, Manufacturing (glide production) ,Glide,2015, - Lead time: 60.88% reduction<br>- Processing time: 4% reduction<br>- Manpower: 25% reduction , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
